,word,pos,lemma
563,Shotgun,JJ,shotgun
564,c,NN,c
565,1870,CD,@card@
566,17-bore,NP,17-bore
567,Twin-barrel,NP,Twin-barrel
568,Shotgun,JJ,shotgun
569,second,JJ,second
570,barrel,NN,barrel
571,fired,VVD,fire
572,Shotgun,NN,shotgun
573,c,SYM,c
574,1870,CD,@card@
575,17-bore,NP,17-bore
576,Twin-barrel,NP,Twin-barrel
577,Shotgun,NN,shotgun
578,two,CD,two
579,guns,NNS,gun
580,firing,VVG,fire
581,both,DT,both
582,barrels,NNS,barrel
583,Shotgun,NN,shotgun
584,c,SYM,c
585,1870,CD,@card@
586,175mm,NP,175mm
587,gun,NN,gun
588,fires,VVZ,fire
589,issue,NN,issue
590,of,IN,of
591,bearings,NNS,bearing
592,175mm,NP,175mm
593,gun,NN,gun
594,fires,NNS,fire
595,with,IN,with
596,orders,NNS,order
597,175mm,NP,175mm
598,gun,NN,gun
599,fires,NNS,fire
600,18,CD,@card@
601,month,NN,month
602,old,JJ,old
603,baby,NN,baby
604,girl,NN,girl
605,Crying,VVG,cry
606,18,CD,@card@
607,month,NN,month
608,old,JJ,old
609,baby,NN,baby
610,girl,NN,girl
611,Crying,VVG,cry
612,18,CD,@card@
613,month,NN,month
614,old,JJ,old
615,baby,NN,baby
616,girl,NN,girl
617,Looking,VVG,look
618,at,IN,at
619,picture,NN,picture
620,book,NN,book
621,18,CD,@card@
622,month,NN,month
623,old,JJ,old
624,baby,NN,baby
625,girl,NN,girl
626,Protesting,VVG,protest
627,at,IN,at
628,having,VHG,have
629,face,NN,face
630,washed,VVD,wash
631,18,CD,@card@
632,week,NN,week
633,old,JJ,old
634,baby,NN,baby
635,girl,NN,girl
636,cooing,VVG,coo
637,and,CC,and
638,gurgling,VVG,gurgle
639,18,CD,@card@
640,week,NN,week
641,old,JJ,old
642,baby,NN,baby
643,girl,NN,girl
644,gurgling,VVG,gurgle
645,becoming,VVG,become
646,irritable,JJ,irritable
647,1960,CD,@card@
648,Fruit,NP,Fruit
649,Machine,NP,Machine
650,operating,VVG,operate
651,1966,CD,@card@
652,F,NN,F
653,A,DT,a
654,Cup,NP,Cup
655,Final,NP,Final
656,double,JJ,double
657,cheer,NN,cheer
658,Everton,NP,Everton
659,v,NN,v
660,Sheffield,NP,Sheffield
661,Wednesday,NP,Wednesday
662,Wembley,NP,Wembley
663,Stadium,NP,Stadium
664,1966,CD,@card@
665,F,NN,F
666,A,DT,a
667,Cup,NP,Cup
668,Final,NP,Final
669,frustrated,JJ,frustrated
670,crowd,NN,crowd
671,Everton,NP,Everton
672,v,NN,v
673,Sheffield,NP,Sheffield
674,Wednesday,NP,Wednesday
675,Wembley,NP,Wembley
676,Stadium,NP,Stadium
677,1966,CD,@card@
678,F,NN,F
679,A,DT,a
680,Cup,NP,Cup
681,final,JJ,final
682,general,JJ,general
683,atmosphere,NN,atmosphere
684,with,IN,with
685,constant,JJ,constant
686,crowd,NN,crowd
687,background,NN,background
688,and,CC,and
689,highlights,VVZ,highlight
690,Everton,NP,Everton
691,v,NN,v
692,Sheffield,NP,Sheffield
693,Wednesday,NP,Wednesday
694,Wembley,NP,Wembley
695,Stadium,NP,Stadium
696,1966,CD,@card@
697,F,NN,F
698,A,DT,a
699,Cup,NP,Cup
700,final,JJ,final
701,general,JJ,general
702,atmosphere,NN,atmosphere
703,with,IN,with
704,highlights,NNS,highlight
705,Everton,NP,Everton
706,v,NN,v
707,Sheffield,NP,Sheffield
708,Wednesday,NP,Wednesday
709,Wembley,NP,Wembley
710,Stadium,NP,Stadium
711,1966,CD,@card@
712,F,NN,F
713,A,DT,a
714,Cup,NP,Cup
715,Final,JJ,final
716,goal,NN,goal
717,attempt,NN,attempt
718,Everton,NP,Everton
719,v,NN,v
720,Sheffield,NP,Sheffield
721,Wednesday,NP,Wednesday
722,Wembley,NP,Wembley
723,Stadium,NP,Stadium
724,1966,CD,@card@
725,F,NN,F
726,A,DT,a
727,Cup,NP,Cup
728,Final,JJ,final
729,goal,NN,goal
730,scored,VVN,score
731,Everton,NP,Everton
732,v,NN,v
733,Sheffield,NP,Sheffield
734,Wednesday,NP,Wednesday
735,Wembley,NP,Wembley
736,Stadium,NP,Stadium
737,1966,CD,@card@
738,F,NN,F
739,A,DT,a
740,Cup,NP,Cup
741,Final,JJ,final
742,goal,NN,goal
